geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,governance_maturity_proxy,E_AI_BLE,E_AI_BCST,persona_cluster
HU,Hungary,2021,10-49,0.975,2.625,9.7975,,6.56,16.8725,16.7225,0
HU,Hungary,2021,50-249,1.525,3.8049999999999997,10.018928571428571,,6.25,14.2425,16.93,0
HU,Hungary,2023,10-249,1.4249999999999998,3.385,13.301428571428572,2.43,7.546666666666667,18.975,15.290000000000001,0
HU,Hungary,2023,10-49,1.19,3.0549999999999997,13.771428571428572,2.1266666666666665,8.036666666666667,19.75,15.235,0
HU,Hungary,2023,50-249,2.99,5.59,10.989999999999998,4.426666666666667,5.849999999999999,15.145,15.665000000000001,0
HU,Hungary,2024,10-249,2.33,7.119999999999999,12.769285714285715,5.955,6.628333333333334,19.425,12.3875,0
HU,Hungary,2024,10-49,2.145,6.654999999999999,12.875357142857142,5.505,6.238333333333333,19.44,12.345,0
HU,Hungary,2024,50-249,3.54,10.129999999999999,12.619285714285715,8.885,9.98,19.825,12.8775,0
HU,Hungary,2025,10-249,3.535,9.89,14.019642857142857,6.510000000000001,4.636666666666666,20.37,13.3225,0
HU,Hungary,2025,10-49,3.245,9.015,13.9675,5.646666666666666,4.090000000000001,19.865,12.49,0
HU,Hungary,2025,50-249,5.41,15.6,14.461428571428574,12.128333333333332,7.06,23.2875,17.8875,0
IE,Ireland,2021,10-249,2.535,7.23,,,7.826666666666667,,,0
IE,Ireland,2021,10-49,1.91,6.109999999999999,,,8.386666666666667,,,0
IE,Ireland,2021,50-249,5.86,13.19,,,6.656666666666666,,,0
IE,Ireland,2023,10-249,3.8,7.225,,5.173333333333333,7.653333333333333,,,0
IE,Ireland,2023,10-49,2.29,5.3149999999999995,,3.7166666666666663,3.6799999999999997,,,0
IE,Ireland,2023,50-249,12.175,17.795,,13.26,16.61,,,2
IE,Ireland,2024,10-249,5.550000000000001,13.95,,,9.726666666666665,,,0
IE,Ireland,2024,10-49,4.28,11.89,,,10.729999999999999,,,0
IE,Ireland,2024,50-249,12.34,24.97,,,7.326666666666667,,,2
IE,Ireland,2025,10-249,5.29,18.59,,14.38,10.806666666666667,,,2
IE,Ireland,2025,10-49,4.27,16.985,,12.780000000000001,8.376666666666667,,,0
IE,Ireland,2025,50-249,11.465,28.33,,24.106666666666666,21.61,,,2
IT,Italy,2021,10-249,1.71,5.88,,,9.389999999999999,,,0
IT,Italy,2021,10-49,1.51,5.39,,,8.116666666666667,,,0
IT,Italy,2021,50-249,3.435,10.035,,,15.959999999999999,,,0
IT,Italy,2023,10-249,1.855,4.695,11.983214285714284,2.891666666666667,7.803333333333334,15.5825,14.312500000000002,0
IT,Italy,2023,10-49,1.685,4.375,12.233571428571427,2.605,7.403333333333333,15.41,15.0775,0
IT,Italy,2023,50-249,3.28,7.305,11.536785714285713,5.283333333333334,10.049999999999999,17.15,11.780000000000001,0
IT,Italy,2024,10-249,2.085,7.78,,,6.486666666666667,,,0
IT,Italy,2024,10-49,1.78,6.93,,,5.48,,,0
IT,Italy,2024,50-249,4.605,14.725000000000001,,,11.236666666666665,,,0
IT,Italy,2025,10-249,2.575,15.805,14.025714285714285,11.579999999999998,4.416666666666667,19.0975,14.04,0
IT,Italy,2025,10-49,2.185,14.335,14.113214285714287,10.200000000000001,3.126666666666667,18.9025,14.3475,0
IT,Italy,2025,50-249,5.71,27.665,14.195000000000002,22.708333333333332,11.243333333333334,21.1525,12.945,2
LT,Lithuania,2021,10-249,1.99,3.98,14.851785714285713,,10.683333333333335,15.065,22.939999999999998,1
LT,Lithuania,2021,10-49,1.6,3.18,14.84142857142857,,9.073333333333332,15.0,22.797500000000003,1
LT,Lithuania,2021,50-249,3.81,7.71,15.20535714285714,,14.426666666666668,15.5875,23.897499999999997,1
LT,Lithuania,2023,10-249,2.11,4.39,16.02392857142857,3.1466666666666665,7.366666666666667,18.995,22.537499999999998,1
LT,Lithuania,2023,10-49,1.65,3.4,16.281785714285714,2.24,5.41,18.955,23.474999999999998,1
LT,Lithuania,2023,50-249,4.16,8.78,15.229285714285714,7.21,11.436666666666667,19.3275,19.3275,1
LT,Lithuania,2024,10-249,3.9,8.01,17.505,,7.796666666666667,24.36,18.38,1
