geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_capability_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
EU27_2020,EU-27,2023,10-49,2.13,6.45,13.779642857142859,28.45071428571429,31.291666666666668,25.246666666666666,32.44333333333333,,,22.30666666666667,0
EU27_2020,EU-27,2023,50-249,5.35,13.09,14.266785714285716,38.053333333333335,48.28333333333333,39.37333333333333,36.35,,,29.603333333333335,2
EU27_2020,EU-27,2024,10-249,3.72,12.705,14.784285714285714,,,35.190000000000005,33.94733333333333,14.2425,23.461000000000002,8.360000000000001,0
EU27_2020,EU-27,2024,10-49,3.05,11.275,14.421071428571429,,,32.809999999999995,33.48566666666667,11.379999999999999,22.041,7.023333333333333,0
EU27_2020,EU-27,2024,50-249,7.635,21.009999999999998,16.83892857142857,,,49.083333333333336,36.85133333333333,30.917499999999997,27.988999999999997,13.613333333333335,4
EU27_2020,EU-27,2025,10-249,4.805,18.994999999999997,15.763214285714284,35.83428571428571,38.415555555555564,35.876666666666665,33.814,,,26.07166666666667,2
EU27_2020,EU-27,2025,10-49,4.154999999999999,17.095,15.570357142857144,33.951190476190476,35.657222222222224,33.82666666666666,33.246,,,24.46,2
EU27_2020,EU-27,2025,50-249,8.68,30.405,17.215357142857147,46.8102380952381,54.22388888888889,48.24666666666667,37.49,,,34.23333333333333,3
FI,Finland,2021,10-249,7.66,14.62,12.563928571428573,55.51933333333333,,42.303333333333335,33.342,,,30.308333333333334,1
FI,Finland,2021,10-49,6.22,12.37,12.18857142857143,53.44733333333333,,40.10333333333333,32.92133333333333,,,28.985,1
FI,Finland,2021,50-249,15.33,26.66,14.775000000000002,66.404,,54.083333333333336,35.69666666666667,,,36.36,3
FI,Finland,2023,10-249,7.56,13.83,14.907142857142858,46.35333333333334,41.54555555555555,45.336666666666666,33.93599999999999,,,35.16833333333334,1
FI,Finland,2023,10-49,5.66,11.48,14.533928571428572,44.019999999999996,38.57222222222223,42.97666666666667,33.025999999999996,,,33.01,2
FI,Finland,2023,50-249,17.66,26.4,17.3825,58.55809523809524,57.03,57.93,38.89133333333333,,,44.56,3
FI,Finland,2024,10-249,9.37,22.81,,,,51.173333333333325,37.21000000000001,24.552500000000002,17.365000000000002,9.866666666666667,2
FI,Finland,2024,10-49,7.72,20.02,,,,49.42000000000001,36.54666666666667,20.982499999999998,17.055,7.563333333333335,2
FI,Finland,2024,50-249,18.15,37.67,,,,60.48999999999999,40.79533333333334,43.5275,19.044,18.666666666666668,4
FI,Finland,2025,10-249,13.78,36.41,17.374642857142856,52.56047619047619,46.99222222222222,53.6,33.205555555555556,,,37.27,3
FI,Finland,2025,10-49,11.75,33.51,16.969285714285714,50.04047619047619,43.73555555555556,52.02333333333333,32.38,,,35.20833333333333,3
FI,Finland,2025,50-249,24.25,51.35,19.867500000000003,65.3295238095238,63.453333333333326,61.70666666666667,37.49999999999999,,,46.95666666666666,3
FR,France,2021,10-249,1.77,6.0600000000000005,,30.335333333333335,,19.903333333333332,27.46333333333333,,,16.566666666666666,0
FR,France,2021,10-49,1.41,5.0649999999999995,,28.873,,17.99,27.301666666666666,,,15.616666666666667,0
FR,France,2021,50-249,4.295,13.08,,40.15266666666667,,33.47666666666667,29.636666666666663,,,21.938333333333333,2
FR,France,2023,10-249,1.775,5.48,,21.48309523809524,31.47166666666666,23.22,28.381333333333334,,,17.59166666666667,0
FR,France,2023,10-49,1.51,4.755,,19.90119047619047,29.28,21.23,27.654666666666667,,,15.723333333333333,0
FR,France,2023,50-249,3.495,10.175,,30.67095238095238,44.74166666666667,36.163333333333334,33.38033333333334,,,26.2,2
FR,France,2024,10-249,2.9450000000000003,9.27,,,,30.013333333333335,29.38366666666667,8.4,23.173,7.383333333333333,0
FR,France,2024,10-49,2.795,8.530000000000001,,,,27.950000000000003,28.811,6.772500000000001,26.921666666666667,7.1499999999999995,0
FR,France,2024,50-249,3.995,14.545,,,,44.703333333333326,33.949666666666666,19.995,29.05,,2
FR,France,2025,10-249,3.9000000000000004,17.04,,29.861904761904764,34.86944444444445,34.13666666666666,29.85266666666667,,,22.40666666666667,2
FR,France,2025,10-49,3.415,15.07,,27.483571428571427,32.425000000000004,31.790000000000003,28.885333333333335,,,20.584999999999997,0
FR,France,2025,50-249,7.28,30.81,,45.49523809523809,51.24,50.576666666666675,37.28,,,32.93833333333333,1
HR,Croatia,2021,10-249,2.95,8.495000000000001,12.465714285714284,38.24933333333334,,23.05,36.95333333333333,,,23.6,0
HR,Croatia,2021,10-49,2.625,8.254999999999999,12.188571428571427,37.159,,21.636666666666667,36.568000000000005,,,23.51666666666667,0
HR,Croatia,2021,50-249,4.82,9.870000000000001,13.815357142857144,44.85,,31.426666666666666,39.21333333333334,,,24.561666666666664,2
HR,Croatia,2023,10-249,1.58,7.695,14.099642857142857,32.06214285714286,45.558888888888895,26.680000000000003,37.196,,,23.02166666666667,0
HR,Croatia,2023,10-49,1.165,7.130000000000001,14.241428571428571,31.151190476190475,42.893333333333324,25.11,36.69633333333333,,,22.514999999999997,0
HR,Croatia,2023,50-249,4.12,11.17,13.427857142857144,37.66238095238095,61.067777777777785,36.49666666666666,40.275333333333336,,,26.011666666666663,1
HR,Croatia,2024,10-249,2.795,11.365,14.813571428571427,36.42194444444444,,30.35666666666667,38.74366666666667,12.33,19.852999999999998,26.240000000000002,2
HR,Croatia,2024,10-49,2.21,10.57,14.993928571428572,34.895833333333336,,28.22,38.205,10.284999999999998,17.941,25.43333333333333,0
HR,Croatia,2024,50-249,6.57,16.49,14.074285714285717,46.38333333333333,,44.22,42.239333333333335,25.6225,25.069,31.33,1
HR,Croatia,2025,10-249,2.45,14.555,14.907142857142857,34.95809523809524,40.62111111111111,28.38,32.70633333333333,,,28.65833333333333,2
HR,Croatia,2025,10-49,1.71,12.809999999999999,15.010714285714286,33.12214285714286,36.78166666666667,25.779999999999998,31.375333333333334,,,27.50833333333334,0
HR,Croatia,2025,50-249,7.11,25.5,15.567499999999999,46.396190476190476,63.412222222222226,44.78666666666667,40.88266666666667,,,35.406666666666666,3
HU,Hungary,2021,10-249,1.0550000000000002,2.785,9.798214285714286,25.754999999999995,,15.066666666666665,32.227,,,14.573333333333334,0
HU,Hungary,2021,10-49,0.975,2.625,9.7975,24.226333333333333,,13.486666666666666,31.99,,,13.884999999999998,0
HU,Hungary,2021,50-249,1.525,3.8049999999999997,10.018928571428571,34.72766666666667,,25.163333333333338,34.092333333333336,,,18.326666666666668,0
