geo,country,year,size_emp,nace_r2,target_workflow_automation,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
PL,Poland,2025,GE10,C16-C18,1.33,13.451785714285716,45.665,26.75666666666666,24.856666666666666,28.041000000000004,,13.378333333333334,3
PL,Poland,2025,GE10,C19,5.75,4.983214285714285,,,5.75,11.363333333333335,,17.283333333333335,3
PL,Poland,2025,GE10,C19-C23,3.795,11.730357142857144,50.84533333333333,35.58222222222222,33.64333333333334,30.005666666666663,,20.75,5
PL,Poland,2025,GE10,C20,5.234999999999999,13.48642857142857,58.33566666666667,44.56111111111111,47.873333333333335,40.70866666666667,,20.34,5
PL,Poland,2025,GE10,C21,16.69,1.97375,,,60.974999999999994,35.97,,24.5,5
PL,Poland,2025,GE10,C22_C23,3.105,11.795714285714284,48.521,32.84499999999999,29.703333333333333,27.192666666666668,,21.068333333333335,5
PL,Poland,2025,GE10,C24_C25,1.77,16.15535714285714,48.49233333333333,29.76277777777778,26.66,24.437666666666665,,15.686666666666667,3
PL,Poland,2025,GE10,C26,6.95,11.87142857142857,63.28933333333333,42.75888888888889,49.00666666666667,37.95933333333333,,27.445000000000004,5
PL,Poland,2025,GE10,C26-C33,3.0599999999999996,12.308928571428572,52.664,34.07333333333333,34.27,30.598333333333336,,20.46666666666667,5
PL,Poland,2025,GE10,C27,6.73,9.843928571428572,58.338,38.772222222222226,41.48666666666667,28.941999999999997,,27.17666666666667,5
PL,Poland,2025,GE10,C27_C28,3.605,11.973571428571429,54.89433333333333,33.88,37.75,27.916333333333334,,20.641666666666666,5
PL,Poland,2025,GE10,C28,2.1399999999999997,12.751071428571427,53.28033333333334,31.439444444444444,36.01,27.696000000000005,,16.836666666666666,5
PL,Poland,2025,GE10,C29_C30,6.125,15.391785714285716,49.726666666666674,39.40833333333334,34.36333333333334,29.954,,25.04,5
PL,Poland,2025,GE10,C31-C33,1.685,12.315714285714284,50.95133333333334,32.14166666666667,30.886666666666667,31.473666666666666,,17.811666666666667,5
PL,Poland,2025,GE10,D,9.14,13.948214285714286,63.29133333333332,52.871111111111105,43.35333333333333,17.966,,30.131666666666668,2
PL,Poland,2025,GE10,D35,9.14,13.948214285714286,63.29133333333332,52.871111111111105,43.35333333333333,17.966,,30.131666666666668,2
PL,Poland,2025,GE10,D_E,2.7350000000000003,15.662499999999998,59.300666666666665,42.503888888888895,36.406666666666666,18.232999999999997,,20.753333333333334,5
PL,Poland,2025,GE10,E,1.5,15.954999999999998,58.52333333333333,40.587777777777774,35.06333333333333,18.35833333333333,,17.89666666666667,5
PL,Poland,2025,GE10,F,0.495,12.665357142857145,38.532,25.03777777777778,18.71,21.02766666666667,,12.223333333333334,3
PL,Poland,2025,GE10,G,2.435,13.007142857142856,46.63366666666666,34.93,33.97,41.711999999999996,,16.735,5
PL,Poland,2025,GE10,G45,2.5149999999999997,13.746785714285716,47.254333333333335,37.11611111111111,37.266666666666666,41.79666666666667,,21.166666666666664,5
PL,Poland,2025,GE10,G45-S951_X_K,3.325,12.5375,46.78933333333334,33.864444444444445,32.38,35.838,,17.794999999999998,5
PL,Poland,2025,GE10,G46,2.99,13.423571428571426,53.169999999999995,38.431666666666665,40.39333333333333,42.38966666666667,,18.035,5
PL,Poland,2025,GE10,G47,1.7850000000000001,12.254642857142857,38.97666666666667,30.491111111111113,25.900000000000002,41.036,,14.121666666666668,3
PL,Poland,2025,GE10,H,1.1749999999999998,13.528571428571427,36.644,28.72333333333333,20.336666666666662,25.239666666666665,,15.546666666666667,3
PL,Poland,2025,GE10,I,1.0350000000000001,10.917857142857143,46.723,30.255000000000006,34.016666666666666,54.36033333333334,,12.535,1
PL,Poland,2025,GE10,I55,1.605,13.665357142857143,58.58999999999999,38.18111111111111,48.63666666666666,78.86433333333333,,23.563333333333333,1
PL,Poland,2025,GE10,ICT,15.754999999999999,11.996785714285712,68.436,51.964444444444446,53.35666666666666,34.272333333333336,,33.15,2
PL,Poland,2025,GE10,J,16.375,13.15,68.79633333333334,52.779444444444444,53.52333333333333,32.510333333333335,,34.72,2
PL,Poland,2025,GE10,J58-J60,7.33,16.143571428571427,65.19466666666668,48.95444444444445,52.41666666666666,50.489999999999995,,32.0,1
PL,Poland,2025,GE10,J61,14.535,10.883571428571429,29.72,34.6,54.29,31.231666666666666,,24.305,5
